VIX Index,CBOE SPX VOLATILITY VIX (NEW) - PRICE INDEX,VOLATILITY,USA
VIX3M Index,CBOE S&P500 3M VOL INDEX - PRICE INDEX,VOLATILITY,USA
SPX Index,S&P 500 COMPOSITE - PRICE INDEX,INDEX,USA
DJI Index,DOW JONES INDUSTRIALS - PRICE INDEX,INDEX,USA
CCMP Index,NASDAQ COMPOSITE - PRICE INDEX,INDEX,USA
NKY Index,NIKKEI 225 STOCK AVERAGE - PRICE INDEX,INDEX,JAPAN
SX5E Index,EURO STOXX 50 - PRICE INDEX,INDEX,EUROPE
DAX Index,DAX 30 PERFORMANCE (XETRA) - PRICE INDEX,INDEX,GERMANY
CAC Index,FRANCE CAC 40 - PRICE INDEX,INDEX,FRANCE
FTSEMIB Index,FTSE MIB INDEX - PRICE INDEX,INDEX,ITALY
IBEX Index,IBEX 35 - PRICE INDEX,INDEX,SPAIN
FTSE Index,FTSE 100 - PRICE INDEX,INDEX,UK
SPTSX Index,S&P/TSX COMPOSITE INDEX - PRICE INDEX,INDEX,CANADA
ASX Index,S&P/ASX 200 - PRICE INDEX,INDEX,AUSTRALIA
NZX Index,S&P/NZX 50 - TOT RETURN IND,INDEX,NZ
HSI Index,HANG SENG - PRICE INDEX,INDEX,HK
SHCOMP Index,SHANGHAI SE COMPOSITE - PRICE INDEX,INDEX,CHINA
SENSEX Index,S&P BSE (SENSEX) 30 SENSITIVE - PRICE INDEX,INDEX,INDIA
BOVESPA Index,BRAZIL BOVESPA - TOT RETURN IND,INDEX,BRAZIL
MEXBOL Index,MEXICO IPC (BOLSA) - PRICE INDEX,INDEX,MEXICO
JALSH Index,FTSE/JSE ALL SHARE - PRICE INDEX,INDEX,SA
MICEX Index,MOEX RUSSIA INDEX - PRICE INDEX,INDEX,RUSSIA
WIG Index,WARSAW GENERAL INDEX - TOT RETURN IND,INDEX,POLAND
DXY Curncy,US DOLLAR INDEX DXY - PRICE INDEX,CRNCY,USA
JPY Curncy,JAPANESE YEN TO US $ (RFV) - EXCHANGE RATE,CRNCY,JAPAN
EUR Curncy,US $ TO EURO (RFV) - EXCHANGE RATE,CRNCY,EUROPE
GBP Curncy,US $ TO GBP (RFV) - EXCHANGE RATE,CRNCY,UK
CAD Curncy,CANADIAN $ TO US $ (RFV) - EXCHANGE RATE,CRNCY,CANADA
AUD Curncy,US $ TO AUSTRALIAN $ (RFV) - EXCHANGE RATE,CRNCY,AUSTRALIA
NZD Curncy,US $ TO NEW ZEALAND $ (RFV) - EXCHANGE RATE,CRNCY,NZ
HKD Curncy,HONG KONG $ TO US $ (RFV) - EXCHANGE RATE,CRNCY,HK
CNH Curncy,CNY OFFSHORE TO US $ (RFV) - EXCHANGE RATE,CRNCY,CHINA
INR Curncy,INDIAN RUPEE TO US $ (RFV) - EXCHANGE RATE,CRNCY,INDIA
BRL Curncy,BRAZILIAN REAL TO US $ (RFV) - EXCHANGE RATE,CRNCY,BRAZIL
MXN Curncy,MEXICAN PESO TO US $ (RFV) - EXCHANGE RATE,CRNCY,MEXICO
ZAR Curncy,SOUTH AFRICA RAND TO US $ (RFV) - EXCHANGE RATE,CRNCY,SA
RUB Curncy,RUSSIAN ROUBLE TO US $ (RFV) - EXCHANGE RATE,CRNCY,RUSSIA
PLN Curncy,POLISH ZLOTY TO US $ (RFV) - EXCHANGE RATE,CRNCY,POLAND
WTI Index,NYM-LIGHT CRUDE OIL TRc2 - SETT. PRICE,COMMO,ALL
BRENT Index,ICE-BRENT CRUDE OIL TRc1 - SETT. PRICE,COMMO,ALL
NATGAS Index,NYM-NATURAL GAS TRc1 - SETT. PRICE,COMMO,ALL
GOLD Index,Gold,COMMO,ALL
SILV Index,Silver Commodity Cash Spot,COMMO,ALL
PLAT Index,Platinum,COMMO,ALL
COPPER Index,CMX-HIGH GRADE COPPER TRc1 - SETT. PRICE,COMMO,ALL
ALU Index,SHFE-ALUMINIUM TRc1 - SETT. PRICE,COMMO,ALL
ZINC Index,SHFE-ZINC TRc1 - SETT. PRICE,COMMO,ALL
SOYBEAN Index,CBT-SOYBEANS COMP. TRc1 - SETT. PRICE,COMMO,ALL
WHEAT Index,CBT-WHEAT COMPOSITE TRc1 - SETT. PRICE,COMMO,ALL
CORN Index,CBT-CORN COMP. TRc1 - SETT. PRICE,COMMO,ALL
COTTON Index,CSCE-COTTON #2 TRc2 - SETT. PRICE,COMMO,ALL
