"Index","Ticker","Kupiec","Christoffersen"
1,"SPX.Index","0.100681759080299","0.135016397073604"
2,"DJI.Index","0.0485158086266604","0.0308186128770883"
3,"CCMP.Index","0.232317621314125","0.188803876758757"
4,"NKY.Index","0.279425751234188","0.0479481505464547"
5,"SX5E.Index","0.332847975998103","0.106718687027134"
6,"DAX.Index","0.0797119220678053","0.0746130880772777"
7,"CAC.Index","0.332847975998103","0.0018895233412366"
8,"IBEX.Index","0.943857099413416","0.000297094358932437"
9,"UKX.Index","0.250594430234856","0.00502871528321402"
10,"SPTSX.Index","0.279425751234188","0.106468932430784"
11,"ASX.Index","0.586106607486873","0.0220136373229988"
12,"NZSE.Index","0.609192670066786","0.0908922343123094"
13,"HSI.Index","0.77950159690278","0.36090413741864"
14,"SHCOMP.Index","0.962631336911654","0.888330779786867"
15,"SENSEX.Index","0.392687919504334","0.667356870935931"
16,"IBOV.Index","0.943857099413416","0.908376517100506"
17,"MEXBOL.Index","0.0485158086266604","0.134394693102032"
18,"JALSH.Index","0.670684371576815","0.876932042755674"
19,"WIG.Index","0.125925985123384","0.294430597102498"
20,"DXY.Curncy","0.250594430234856","0.0486691803873343"
21,"JPY.Curncy","0.962631336911654","0.996608457297055"
22,"EUR.Curncy","0.506506552502105","0.0170768422411854"
23,"GBP.Curncy","0.962631336911654","0.146400193578666"
24,"CAD.Curncy","0.250594430234856","0.418624981530506"
25,"AUD.Curncy","0.609192670066786","0.823614252909264"
26,"NZD.Curncy","0.021406579493587","0.0623067634469912"
27,"HKD.Curncy","0.0372975136611897","0.00261754340536791"
28,"INR.Curncy","0.458885809604956","0.588494587334057"
29,"BRL.Curncy","0.0372975136611897","0.100860267716425"
30,"MXN.Curncy","0.850731117029788","0.962235211987682"
31,"ZAR.Curncy","0.850731117029788","0.962235211987682"
32,"PLN.Curncy","0.77950159690278","0.961484925510081"
33,"CO1.Comdty","0.692233327673939","0.623665669473006"
34,"NG1.Comdty","0.53119943568642","0.624988545116281"
35,"XAU.Curncy","0.962631336911654","0.146400193578666"
36,"XAG.Curncy","0.759265967633696","0.720138356328558"
37,"PL1.Comdty","0.203562716554467","0.443597030276555"
38,"HG1.Comdty","0.432676634179994","0.45428394121972"
39,"S.1.Comdty","0.458885809604956","0.555941716631642"
40,"W.1.Comdty","0.586106607486873","0.246923862082376"
41,"C.1.Comdty","0.392687919504334","0.558724599834599"
42,"CT1.Comdty","0.586106607486873","0.342937817560581"
43,"Index_ptfl","0.759265967633696","3.06688557227819e-05"
44,"Curncy_ptfl","0.191281073636645","0.291244472507245"
45,"Comdty_ptfl","0.125925985123384","0.255826297428869"
